Rank,Name,Symbol,MainLink,HistoricalLink,Tags,Github_link
1,bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,"['Mineable', 'PoW', 'SHA-256']",https://github.com/bitcoin/bitcoin
2,ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,"['PoS', 'Smart Contracts', 'Ethereum Ecosystem']",https://github.com/ethereum/go-ethereum
3,tether,USDT,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,"['Payments', 'Stablecoin', 'Asset-Backed Stablecoin']",
4,bnb,BNB,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Payments']",https://github.com/bnb-chain
5,xrp,XRP,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,"['Medium of Exchange', 'Enterprise Solutions', 'Arrington XRP Capital Portfolio']",https://github.com/ripple/rippled
6,usd-coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,"['Medium of Exchange', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/centrehq/centre-tokens
7,cardano,ADA,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,"['DPoS', 'PoS', 'Platform']",
8,dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,"['Mineable', 'PoW', 'Scrypt']",https://github.com/dogecoin/dogecoin
9,solana,SOL,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,"['PoS', 'Platform', 'Solana Ecosystem']",https://github.com/solana-labs
10,tron,TRX,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,"['Media', 'Payments', 'TRON Ecosystem']",https://github.com/tronprotocol/java-tron
11,polkadot-new,DOT,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,"['Substrate', 'Polkadot', 'Binance Chain']",https://github.com/paritytech/polkadot
12,multi-collateral-dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,"['DeFi', 'Stablecoin', 'Asset-Backed Stablecoin']",
13,polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,https://coinmarketcap.com/currencies/polygon/historical-data/,"['PoS', 'Platform', 'Enterprise Solutions']",https://github.com/maticnetwork/whitepaper/
14,toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,https://coinmarketcap.com/currencies/toncoin/historical-data/,"['PoS', 'DWF Labs Portfolio', 'Toncoin Ecosystem']",https://github.com/ton-blockchain
15,litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,https://coinmarketcap.com/currencies/litecoin/historical-data/,"['Mineable', 'PoW', 'Scrypt']",https://github.com/litecoin-project/litecoin
16,shiba-inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,"['Memes', 'Ethereum Ecosystem', 'Doggone Doggerel']",
17,wrapped-bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://coinmarketcap.com/currencies/wrapped-bitcoin/historical-data/,"['Medium of Exchange', 'DeFi', 'Wrapped Tokens']",https://github.com/WrappedBTC/bitcoin-token-smart-contracts
18,bitcoin-cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,"['Mineable', 'PoW', 'SHA-256']",
19,unus-sed-leo,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
20,avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,https://coinmarketcap.com/currencies/avalanche/historical-data/,"['DeFi', 'Smart Contracts', 'Three Arrows Capital Portfolio']",https://github.com/ava-labs/avalanchego
21,stellar,XLM,https://coinmarketcap.com/currencies/stellar/,https://coinmarketcap.com/currencies/stellar/historical-data/,"['Medium of Exchange', 'Enterprise Solutions', 'Decentralized Exchange (DEX) Token']",https://github.com/stellar/stellar-core
22,chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,https://coinmarketcap.com/currencies/chainlink/historical-data/,"['Platform', 'DeFi', 'Oracles']",https://github.com/smartcontractkit/chainlink
23,binance-usd,BUSD,https://coinmarketcap.com/currencies/binance-usd/,https://coinmarketcap.com/currencies/binance-usd/historical-data/,"['Stablecoin', 'Asset-Backed Stablecoin', 'Binance Chain']",https://github.com/paxosglobal/busd-contract
24,trueusd,TUSD,https://coinmarketcap.com/currencies/trueusd/,https://coinmarketcap.com/currencies/trueusd/historical-data/,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/trusttoken/smart-contracts
25,uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,https://coinmarketcap.com/currencies/uniswap/historical-data/,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO']",
26,monero,XMR,https://coinmarketcap.com/currencies/monero/,https://coinmarketcap.com/currencies/monero/historical-data/,"['Mineable', 'PoW', 'Medium of Exchange']",https://github.com/monero-project/monero
27,okb,OKB,https://coinmarketcap.com/currencies/okb/,https://coinmarketcap.com/currencies/okb/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
28,cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,https://coinmarketcap.com/currencies/cosmos/historical-data/,"['Platform', 'Cosmos Ecosystem', 'Content Creation']",https://github.com/cosmos
29,ethereum-classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,"['Mineable', 'PoW', 'Ethash']",https://github.com/ethereumclassic/ethereumclassic.github.io
30,hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,https://coinmarketcap.com/currencies/hedera/historical-data/,"['DAG', 'Marketplace', 'Enterprise Solutions']",https://github.com/hashgraph
31,internet-computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,https://coinmarketcap.com/currencies/internet-computer/historical-data/,"['Platform', 'Distributed Computing', 'Collectibles & NFTs']",https://github.com/dfinity/ic
32,filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,https://coinmarketcap.com/currencies/filecoin/historical-data/,"['Mineable', 'Distributed Computing', 'Filesharing']",https://github.com/filecoin-project/
33,mantle,MNT,https://coinmarketcap.com/currencies/mantle/,https://coinmarketcap.com/currencies/mantle/historical-data/,"['Ethereum Ecosystem', 'Layer 2', 'DWF Labs Portfolio']",https://github.com/mantlenetworkio
